file_name,experiment_time,experiment_fitness
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,67626,40.7103071328
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,86486,47.1435349511
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,23903,249.327685085
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,5461,39.1901492008
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,69687,61.7899972735
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,72436,54.8683200658
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,4144,66.714054307
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,20442,47.5439542943
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,8379,46.8635202403
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,66628,67.809579775
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,55778,41.1025516441
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,35170,55.7521435762
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,1795,59.5220456354
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,46844,46.7271048355
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,30397,45.9554202584
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,79084,45.3497159736
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,41794,77.166345791
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,14646,55.059582554
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,21509,60.8421222331
../gymjam_results/lisa_results/mortality/endpoint/results0.txt,71440,39.4945469475
