file_name,experiment_time,experiment_fitness
../gymjam_results/lisa_results/mortality/fitness/results0.txt,83263,56.5030146192
../gymjam_results/lisa_results/mortality/fitness/results0.txt,27574,40.8352838748
../gymjam_results/lisa_results/mortality/fitness/results0.txt,24,47.4954553755
../gymjam_results/lisa_results/mortality/fitness/results0.txt,48857,54.3916916235
../gymjam_results/lisa_results/mortality/fitness/results0.txt,59156,52.0472539425
../gymjam_results/lisa_results/mortality/fitness/results0.txt,17358,42.8813114123
../gymjam_results/lisa_results/mortality/fitness/results0.txt,38815,42.4630755684
../gymjam_results/lisa_results/mortality/fitness/results0.txt,58911,42.7516117359
../gymjam_results/lisa_results/mortality/fitness/results0.txt,30384,34.9938010182
../gymjam_results/lisa_results/mortality/fitness/results0.txt,33410,62.4619185763
../gymjam_results/lisa_results/mortality/fitness/results0.txt,59856,49.7108700495
../gymjam_results/lisa_results/mortality/fitness/results0.txt,57076,68.1107424642
../gymjam_results/lisa_results/mortality/fitness/results0.txt,22432,44.7579244118
../gymjam_results/lisa_results/mortality/fitness/results0.txt,10062,52.0950931397
../gymjam_results/lisa_results/mortality/fitness/results0.txt,64259,41.7096814743
../gymjam_results/lisa_results/mortality/fitness/results0.txt,38707,61.8430846479
../gymjam_results/lisa_results/mortality/fitness/results0.txt,79309,43.9124211805
../gymjam_results/lisa_results/mortality/fitness/results0.txt,54110,51.5617898904
../gymjam_results/lisa_results/mortality/fitness/results0.txt,30465,47.5448339328
../gymjam_results/lisa_results/mortality/fitness/results0.txt,32550,47.3273434354
