file_name,experiment_time,experiment_fitness
../gymjam_results/2020_04_28_experiments/results/results_e09_1.txt,41956,45.51241488558301
../gymjam_results/2020_04_28_experiments/results/results_e09_10.txt,99813,51.19692768620078
../gymjam_results/2020_04_28_experiments/results/results_e09_11.txt,81819,42.10238773157428
../gymjam_results/2020_04_28_experiments/results/results_e09_12.txt,72958,39.70553414269585
../gymjam_results/2020_04_28_experiments/results/results_e09_13.txt,64005,37.665107658925535
../gymjam_results/2020_04_28_experiments/results/results_e09_14.txt,22658,46.526396450101004
../gymjam_results/2020_04_28_experiments/results/results_e09_15.txt,21187,40.486088732837715
../gymjam_results/2020_04_28_experiments/results/results_e09_16.txt,58346,58.67366732082863
../gymjam_results/2020_04_28_experiments/results/results_e09_17.txt,24742,48.01149776829274
../gymjam_results/2020_04_28_experiments/results/results_e09_18.txt,98536,59.89168832757349
../gymjam_results/2020_04_28_experiments/results/results_e09_19.txt,18957,48.59122019669243
../gymjam_results/2020_04_28_experiments/results/results_e09_2.txt,56352,52.59626503610207
../gymjam_results/2020_04_28_experiments/results/results_e09_20.txt,75336,49.60582468035301
../gymjam_results/2020_04_28_experiments/results/results_e09_3.txt,65985,48.19290790179889
../gymjam_results/2020_04_28_experiments/results/results_e09_4.txt,72814,34.56199189294492
../gymjam_results/2020_04_28_experiments/results/results_e09_5.txt,48252,59.39482404655109
../gymjam_results/2020_04_28_experiments/results/results_e09_6.txt,65879,45.86945546875043
../gymjam_results/2020_04_28_experiments/results/results_e09_7.txt,69908,38.73785514819406
../gymjam_results/2020_04_28_experiments/results/results_e09_8.txt,2377,53.59197898501168
../gymjam_results/2020_04_28_experiments/results/results_e09_9.txt,57671,42.09596291339088
