file_name,cells_filled,best_fitness,sum_fitness,best_fitness_commands
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_10_latest.pkl,-1,45.30569830867282,-1,1/1/2/1/1/0/1/2/2/1/2/1/0/3/1/1/1/3/0/2/0/3/3/0/3/0/0/3/2/0/0/3/1/3/3/3/2/1/3/3/0/2/0/0/3/3/1/3/0/2/2/1/0/2/1/3/3/3/0/1/0/3/3/0/3/3/0/0/3/1/1/1/3/0/1/2/3/1/0/3/1/3/3/2/1/3/3/0/1/0/3/3/3/1/3/1/0/1/3/2
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_11_latest.pkl,-1,33.57437870256743,-1,1/1/1/1/1/1/3/1/2/2/1/2/0/2/0/1/3/0/3/0/3/3/0/1/2/2/0/3/3/1/2/1/0/3/1/1/0/2/1/0/3/0/1/2/0/2/3/3/2/1/3/1/0/1/0/3/3/1/1/0/2/1/1/2/1/1/1/1/0/1/3/2/0/3/0/0/0/1/1/0/2/0/0/2/0/0/2/0/1/2/1/3/1/0/0/3/0/1/1/2
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_12_latest.pkl,-1,53.37307975578298,-1,1/1/0/1/1/2/1/1/1/2/2/1/0/0/1/3/2/3/3/1/1/1/1/3/0/0/1/1/1/2/3/2/1/0/0/1/2/0/3/1/0/0/3/3/0/2/0/1/1/0/2/2/1/1/3/1/3/2/2/3/3/3/2/0/1/1/1/0/3/1/0/0/3/3/3/2/2/0/2/0/3/3/3/3/1/0/0/3/2/2/2/3/0/0/3/3/2/1/1/2
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_13_latest.pkl,-1,52.81782617922539,-1,1/1/0/1/1/1/1/2/1/2/2/1/1/3/3/2/3/1/0/3/0/3/1/1/3/0/3/2/3/2/2/0/2/3/1/1/3/2/1/1/3/2/0/1/3/3/1/0/3/3/2/0/2/0/0/3/0/1/1/3/3/1/2/0/3/3/1/3/0/0/3/3/3/3/2/2/1/2/1/3/1/3/2/0/0/3/0/1/0/2/2/3/1/1/3/1/2/3/3/2
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_14_latest.pkl,-1,57.157042372471636,-1,2/1/2/2/2/2/1/1/1/3/1/3/2/2/0/2/0/3/2/0/2/2/3/2/2/1/2/2/0/2/0/0/2/0/2/0/3/0/2/0/0/3/1/1/2/2/1/1/0/0/2/2/3/0/0/0/0/2/1/2/0/0/0/1/3/2/3/1/1/0/1/2/3/0/3/2/1/1/1/1/1/2/3/0/0/0/1/1/2/2/2/2/1/2/0/3/2/2/1/1
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_15_latest.pkl,-1,51.217221166874396,-1,1/1/1/1/1/1/1/3/1/0/2/2/2/1/3/0/0/3/2/0/1/3/3/2/2/2/1/3/0/2/2/1/1/2/3/0/0/3/1/0/2/3/0/3/2/0/1/3/3/3/3/2/3/2/0/0/3/3/1/3/1/1/2/2/2/0/2/3/3/3/0/1/2/0/2/2/3/3/1/1/2/3/2/0/0/3/1/0/2/3/0/0/0/2/3/2/1/2/2/1
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_16_latest.pkl,-1,61.15386898836286,-1,1/1/1/1/2/1/1/2/2/0/2/2/0/3/2/0/1/2/2/3/0/2/3/3/1/3/0/3/2/3/1/3/2/2/2/1/3/2/2/0/3/3/2/0/2/1/0/0/1/1/1/3/0/0/0/3/3/3/1/3/2/0/2/2/3/2/1/1/3/3/2/0/3/2/1/3/2/1/1/1/3/0/3/1/1/2/1/3/0/3/2/1/2/2/1/3/1/2/2/2
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_17_latest.pkl,-1,46.42554188185818,-1,1/1/1/1/1/2/1/2/2/1/0/1/3/2/2/2/3/3/1/3/1/3/0/3/1/2/3/0/2/0/1/3/0/2/2/3/2/2/2/0/2/2/0/0/2/0/1/2/2/1/3/3/0/2/0/0/2/3/2/1/1/3/3/3/0/3/0/1/3/0/1/1/1/2/3/2/2/2/0/1/0/1/0/3/0/2/0/3/2/1/0/2/2/0/1/3/3/3/1/0
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_18_latest.pkl,-1,47.62488972808728,-1,1/1/0/1/1/1/2/1/1/0/0/1/2/2/1/3/0/3/0/1/1/0/0/2/3/2/3/1/1/0/2/0/0/1/3/2/1/1/2/2/0/0/3/1/1/3/0/1/2/3/2/2/0/0/1/1/1/1/1/1/1/2/0/2/0/0/3/2/1/1/0/3/3/2/2/0/3/2/3/1/0/3/1/2/1/1/3/1/0/1/2/2/1/1/1/3/1/3/3/3
../gymjam_results/2020_04_28_experiments/checkpoints/experiment01_19_latest.pkl,-1,39.24632299584519,-1,0/2/2/1/2/1/1/2/2/0/1/0/2/0/2/2/1/0/3/2/2/3/1/0/2/3/2/3/3/2/2/2/1/1/2/0/2/1/2/3/0/3/0/3/0/3/0/3/2/1/1/0/2/3/1/3/0/3/3/1/1/1/2/1/2/0/1/1/0/3/3/3/0/2/2/1/1/2/3/1/3/3/2/1/2/3/2/0/3/3/2/0/1/1/3/2/1/3/1/3
