file_name,experiment_time,experiment_fitness
../gymjam_results/lisa_results/mortality/entropy/results0.txt,51348,53.3711241487
../gymjam_results/lisa_results/mortality/entropy/results0.txt,67717,52.1860826631
../gymjam_results/lisa_results/mortality/entropy/results0.txt,62578,32.786635721
../gymjam_results/lisa_results/mortality/entropy/results0.txt,36413,41.2946557393
../gymjam_results/lisa_results/mortality/entropy/results0.txt,26099,45.4401208534
../gymjam_results/lisa_results/mortality/entropy/results0.txt,42466,49.7325639827
../gymjam_results/lisa_results/mortality/entropy/results0.txt,62460,49.9427030256
../gymjam_results/lisa_results/mortality/entropy/results0.txt,23159,51.4271690552
../gymjam_results/lisa_results/mortality/entropy/results0.txt,99224,46.446705228
../gymjam_results/lisa_results/mortality/entropy/results0.txt,84766,48.3108417169
../gymjam_results/lisa_results/mortality/entropy/results0.txt,99913,55.1668284417
../gymjam_results/lisa_results/mortality/entropy/results0.txt,98840,59.6693206048
../gymjam_results/lisa_results/mortality/entropy/results0.txt,36798,32.9527684241
../gymjam_results/lisa_results/mortality/entropy/results0.txt,11885,70.9528344924
../gymjam_results/lisa_results/mortality/entropy/results0.txt,94588,43.5914859855
../gymjam_results/lisa_results/mortality/entropy/results0.txt,48422,42.1698366431
../gymjam_results/lisa_results/mortality/entropy/results0.txt,72339,44.5316005434
../gymjam_results/lisa_results/mortality/entropy/results0.txt,54533,74.2687122477
../gymjam_results/lisa_results/mortality/entropy/results0.txt,57500,59.7677976126
../gymjam_results/lisa_results/mortality/entropy/results0.txt,37220,47.6360498656
