file_name,experiment_time,experiment_fitness
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r1,0,-314.8658584211089
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r2,359986,60.44940912239471
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r3,382555,54.41841777323077
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r4,205273,69.638680453884
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r5,120731,75.41762642931232
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r6,334975,65.444597662631
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r7,59356,57.511490425139385
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r8,397322,58.157580691425586
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r9,84093,86.08339408232263
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r10,386048,63.16054004417086
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r11,356451,56.78171433863122
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r12,397845,63.112948685939934
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r13,161570,66.18355163098971
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r14,208710,50.481847055060086
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r15,319859,62.09896264980688
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r16,132003,59.42206197347966
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r17,235385,54.315767234666225
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r18,231321,56.354801034275624
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r19,110954,70.70293673869628
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r20,228164,68.1418492633062
result_file_../gymjam_results/2020_04_22_experiments/logfiles/slurm_9102915_e02.out_r21,340232,71.19019154685063
