file_name,experiment_time,experiment_fitness
../gymjam_results/lisa_results/scaling/fitness/results0.txt,11912,34.5270558312
../gymjam_results/lisa_results/scaling/fitness/results0.txt,88413,47.4172394224
../gymjam_results/lisa_results/scaling/fitness/results0.txt,30449,54.2115494541
../gymjam_results/lisa_results/scaling/fitness/results0.txt,53465,50.8307006137
../gymjam_results/lisa_results/scaling/fitness/results0.txt,39794,46.6538660629
../gymjam_results/lisa_results/scaling/fitness/results0.txt,94351,58.0870934404
../gymjam_results/lisa_results/scaling/fitness/results0.txt,31381,52.6560341438
../gymjam_results/lisa_results/scaling/fitness/results0.txt,30487,42.8296744068
../gymjam_results/lisa_results/scaling/fitness/results0.txt,63820,46.9927415097
../gymjam_results/lisa_results/scaling/fitness/results0.txt,9160,74.5336581363
../gymjam_results/lisa_results/scaling/fitness/results0.txt,11660,56.5998715942
../gymjam_results/lisa_results/scaling/fitness/results0.txt,73835,71.0726277438
../gymjam_results/lisa_results/scaling/fitness/results0.txt,26900,38.0868419317
../gymjam_results/lisa_results/scaling/fitness/results0.txt,83244,55.8414692988
../gymjam_results/lisa_results/scaling/fitness/results0.txt,24997,40.6864722445
../gymjam_results/lisa_results/scaling/fitness/results0.txt,52756,48.4956325452
../gymjam_results/lisa_results/scaling/fitness/results0.txt,17961,46.3975969763
../gymjam_results/lisa_results/scaling/fitness/results0.txt,95667,75.2530631785
../gymjam_results/lisa_results/scaling/fitness/results0.txt,31619,32.6163865793
../gymjam_results/lisa_results/scaling/fitness/results0.txt,24180,49.6424509877
