file_name,cells_filled,sum_fitness,best_fitness,best_fitness_commands
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_10_latest.pkl,76,-12473.025977520829,-35.900606731953175,2/1/2/2/2/0/2/1/0/0/1/1/3/3/2/1/1/3/2/1/2/0/2/1/3/1/1/3/2/1/1/3/0/3/0/3/2/3/2/2/3/2/3/3/3/0/2/1/2/1/2/1/1/3/3/0/1/2/0/0/2/3/2/3/0/1/2/3/3/3/3/3/2/1/1/1/3/2/2/1/2/3/2/0/2/2/3/1/3/1/2/3/2/0/0/2/0/0/1/2
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_11_latest.pkl,76,-12682.991573568894,-44.148018964234495,1/2/1/1/0/3/0/2/2/2/2/1/2/2/0/1/3/2/2/3/2/1/3/3/1/1/0/1/2/1/0/0/1/1/0/1/1/1/3/2/0/3/3/2/0/3/2/0/3/1/1/1/0/2/1/1/3/2/0/3/0/0/2/3/1/3/1/3/3/0/2/0/1/1/3/1/2/0/2/3/2/1/3/2/1/2/2/0/3/0/0/1/2/1/0/3/2/1/3/2
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_12_latest.pkl,76,-11631.340396751917,-21.83105445471334,2/1/2/1/1/0/2/2/0/3/2/2/2/3/1/2/2/1/3/2/1/2/3/3/2/3/1/2/2/0/3/0/3/3/1/1/2/3/0/1/0/1/2/3/2/3/3/2/1/2/1/0/1/0/2/3/2/3/2/1/2/1/2/1/3/2/3/2/2/1/1/3/0/0/3/3/0/2/3/2/2/0/0/1/3/0/3/1/2/3/2/3/0/3/0/1/2/1/2/0
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_13_latest.pkl,76,-12021.813967262198,8.727029354575379,0/0/2/2/1/0/1/2/1/2/1/1/2/2/0/0/0/1/2/3/0/0/2/2/1/3/2/2/1/1/0/2/2/3/0/2/0/0/2/1/3/2/2/2/0/2/1/1/2/3/3/0/3/1/1/1/0/1/0/3/1/1/1/2/0/3/1/3/0/2/3/1/0/2/2/1/2/2/2/1/3/2/3/2/2/1/1/2/1/3/1/3/1/0/2/0/1/1/1/3
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_14_latest.pkl,74,-11589.124403565871,-17.08851523202324,2/1/0/2/2/1/2/0/0/0/3/0/1/0/2/2/0/2/1/2/2/2/2/2/2/3/2/0/1/3/3/0/1/3/3/2/1/1/0/0/0/2/3/3/3/0/1/3/2/3/1/1/1/0/2/1/2/3/2/1/3/2/2/3/0/0/3/2/3/2/3/0/2/2/3/2/2/3/1/3/2/0/3/1/0/2/2/0/0/2/0/1/2/0/3/3/1/1/0/0
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_15_latest.pkl,69,-10553.47825568317,-19.73045022999314,3/2/1/1/2/0/2/2/1/1/1/1/1/2/0/1/3/2/1/0/1/0/2/3/0/0/2/2/1/2/2/0/3/3/3/2/3/1/2/3/0/1/2/3/3/0/3/0/2/1/0/3/0/2/0/0/1/0/3/0/1/0/2/2/3/1/2/3/0/0/3/0/0/1/3/3/3/1/3/1/0/1/2/3/1/2/3/1/2/3/3/0/1/2/1/3/1/3/1/1
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_16_latest.pkl,74,-12221.194680842094,-23.701944123319905,0/1/1/2/1/3/2/0/1/2/2/2/2/2/3/1/3/0/2/2/3/3/2/2/2/1/0/2/1/1/3/3/1/3/1/3/0/1/3/1/0/1/1/1/2/0/2/3/1/0/2/2/1/1/0/1/0/1/1/1/1/0/2/3/2/3/2/1/1/1/1/2/0/1/2/2/1/2/2/2/0/0/2/3/3/2/0/2/2/2/1/3/0/2/1/1/2/3/3/2
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_17_latest.pkl,71,-11976.879817891915,-42.959669099412565,2/2/2/1/0/0/3/1/1/1/3/1/1/1/0/0/1/0/1/1/1/2/0/0/0/3/0/3/2/1/0/2/2/0/1/2/2/1/1/1/0/3/3/0/0/1/0/3/2/1/2/1/1/3/2/2/2/1/3/0/3/2/3/3/1/3/1/1/1/0/0/2/0/3/3/1/2/3/2/3/2/1/2/3/2/3/3/2/3/3/3/3/3/3/0/3/3/0/2/2
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_18_latest.pkl,71,-10696.672136872876,-7.939658646788217,2/2/2/0/2/1/0/1/1/0/0/2/2/0/2/1/2/3/1/2/3/3/2/1/2/2/0/2/1/0/0/3/2/1/2/3/1/3/3/2/2/1/2/1/0/2/1/0/1/0/1/3/1/0/1/0/2/0/2/2/1/1/2/0/0/2/2/0/0/3/0/0/3/3/3/1/3/3/0/2/0/3/3/2/3/0/0/3/0/1/2/0/3/2/3/1/3/3/2/2
../gymjam_results/lisa_results/mortality/fitness/checkpoints/experiment08_19_latest.pkl,61,-9478.126502021372,-14.634525012968226,1/3/1/2/0/2/3/1/1/1/2/2/2/0/0/3/2/2/1/3/2/3/3/2/2/1/2/3/2/0/1/3/2/1/2/1/2/1/0/0/3/2/0/0/1/0/2/0/2/0/1/0/3/2/0/1/2/3/2/0/2/2/1/3/1/2/3/3/1/2/0/1/2/2/3/1/0/1/3/1/0/1/2/1/2/1/0/2/2/1/0/0/2/3/1/3/0/2/2/2
