file_name,best_fitnesss_mean,best_fitness_std,summed_fitness_mean,summed_fitness_std,cells_filled_mean,cells_filled_std
exp01_stats,49.46773709,6.452010135,1,0,-1,0
exp02_stats,63.45341844,8.241009198,1,0,-1,0
exp03_stats,59.24351854,6.442639388,1,0,-1,0
exp04_stats,49.79947532,7.632980203,1,0,-1,0
exp05_stats,57.33548097,44.12405016,1,0,-1,0
exp06_stats,49.28003962,7.36496393,-39.25287182,5.927835615,72.3,2.123676058
exp07_stats,49.06837754,8.854227783,-55.55198357,0.328303549,2500,0
exp08_stats,51.6105702,9.092647293,-127.429209,2.167266299,113.8,1.469693846
exp09_stats,47.74416016,9.405135125,-25.75899995,7.301506313,37.5,1.024695077
