file_name,cells_filled,sum_fitness,best_fitness,best_fitness_commands
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_10_latest.pkl,76,-2533.822764267794,40.15938378520886,1/1/2/1/2/2/1/2/0/2/1/1/2/1/2/2/3/0/2/0/1/1/0/3/2/1/3/3/3/2/3/0/0/0/3/1/3/2/0/0/1/0/1/3/3/0/2/3/1/0/3/2/3/3/2/1/0/0/1/3/1/3/1/2/2/0/0/0/3/2/0/0/1/1/1/1/2/1/1/2/2/0/1/2/1/0/1/0/1/2/1/3/1/3/2/2/2/1/3/0
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_11_latest.pkl,72,-2545.194212366397,50.88167561131087,2/1/2/2/1/2/1/3/2/0/1/2/3/2/1/2/1/0/2/0/0/2/0/1/0/3/3/2/3/2/2/3/2/2/2/2/2/1/3/0/1/3/0/1/3/1/2/0/3/2/2/2/1/2/3/3/1/3/1/1/3/0/2/1/3/3/0/1/3/0/3/3/1/0/1/1/3/0/1/2/3/2/3/1/2/0/3/1/0/0/1/1/3/3/1/3/2/0/3/0
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_12_latest.pkl,72,-3285.9907828418463,67.96241972527523,0/2/2/1/0/2/1/1/2/0/1/0/1/2/1/3/2/3/2/2/2/1/1/2/2/2/1/2/1/2/1/1/1/3/3/3/2/2/1/0/0/2/1/3/1/1/3/0/2/0/1/2/2/0/2/0/3/1/3/1/3/2/0/0/3/0/1/1/0/1/2/0/1/0/2/2/2/3/3/1/1/2/2/0/0/1/0/3/0/3/1/0/3/3/1/1/0/3/0/1
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_13_latest.pkl,73,-2970.5119415247614,42.532956879560174,1/1/1/1/2/1/2/1/0/1/1/1/2/3/3/3/1/1/0/1/0/3/1/3/3/3/1/2/1/3/0/0/0/1/0/3/2/1/1/0/2/2/3/0/1/0/1/2/3/0/3/0/1/2/1/0/0/3/2/3/2/3/2/2/3/1/1/3/0/3/2/0/3/0/0/3/1/0/0/2/2/0/3/0/0/2/1/1/0/1/0/2/1/1/3/0/0/3/2/3
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_14_latest.pkl,74,-2796.6687883762575,49.660575555812585,1/1/0/1/2/2/1/1/1/2/1/2/2/2/3/2/1/2/1/0/3/3/3/3/2/3/3/3/1/1/1/0/0/3/2/2/3/0/2/2/2/1/1/1/0/1/2/2/2/0/3/3/3/0/2/0/2/2/0/3/0/0/0/1/0/0/1/2/2/0/3/2/3/2/0/0/3/0/3/1/0/0/1/1/3/2/2/1/1/1/2/3/0/2/0/1/2/1/2/0
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_15_latest.pkl,72,-2929.212463114929,51.34409165892447,1/1/2/1/1/3/1/1/1/0/1/1/1/2/0/0/0/1/3/1/0/3/0/3/3/1/2/0/0/0/0/3/2/3/3/3/3/1/2/0/0/0/3/2/0/3/0/2/1/3/2/1/3/3/1/2/2/1/1/0/1/1/1/3/2/2/0/1/0/0/3/3/2/2/3/3/2/2/0/0/2/0/0/3/1/2/1/1/1/3/1/1/0/1/2/2/2/3/2/0
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_16_latest.pkl,71,-2898.1725874674426,50.33926053305473,2/2/1/2/0/1/2/1/1/0/1/2/3/3/2/1/2/3/1/2/1/2/0/2/1/2/2/2/2/3/0/1/1/2/0/2/0/2/1/0/1/3/1/2/1/2/0/1/3/1/3/3/1/0/3/0/3/2/2/2/1/0/2/2/2/1/1/3/2/1/0/1/0/0/3/0/1/1/1/2/0/3/0/2/3/2/2/0/2/0/1/3/2/1/1/1/3/2/2/1
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_17_latest.pkl,68,-2419.0500265605556,54.45443946609629,0/1/1/1/1/1/2/0/2/0/1/1/2/1/1/2/1/1/3/0/0/0/1/3/0/3/0/3/1/0/2/0/3/0/0/1/3/0/1/1/2/2/0/2/0/3/1/1/0/0/0/0/1/0/2/0/0/2/0/2/0/0/3/3/0/0/0/0/2/2/3/1/3/2/3/3/3/3/1/3/0/2/3/3/1/1/3/1/1/2/2/1/3/0/3/1/2/3/0/2
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_18_latest.pkl,70,-2354.9929376832233,49.61709477616205,2/0/0/2/1/1/2/2/2/1/1/2/1/3/2/1/2/0/3/1/1/1/1/2/0/0/2/0/2/2/1/3/3/2/2/0/0/2/0/0/2/1/0/0/2/3/1/2/2/0/2/0/2/0/1/2/1/1/3/1/1/2/2/1/2/3/3/2/1/2/0/3/0/1/2/2/1/2/2/2/1/0/3/1/0/2/1/1/0/1/1/0/3/1/2/2/2/2/3/1
../gymjam_results/2020_04_22_experiments/checkpoints/experiment06_19_latest.pkl,77,-2972.6522980520035,51.475194316675385,1/0/1/1/1/0/1/1/1/1/1/3/1/1/2/3/0/1/1/0/3/0/2/0/2/0/0/3/3/2/2/2/3/3/1/3/1/0/2/2/0/3/1/2/2/2/1/0/2/1/1/2/2/1/1/2/3/1/0/1/0/3/2/2/3/3/0/0/2/0/2/0/0/3/0/0/1/1/1/0/2/3/3/0/3/3/2/2/0/3/1/2/0/2/1/2/3/1/3/0
